country	population	articles	edits	activeUsers	articlesPerCapita	editsPerCapita	activeUsersPer1KCapita
Denmark	5639719	215955	8518797	953	0.038292	1.510500	0.168980
Estonia	1313271	332	48197	10	0.000253	0.036700	0.007615
Faroe Islands	48553	11887	348630	36	0.244825	7.180401	0.741458
Finland	5470437	393245	16523678	1670	0.071885	3.020541	0.305277
France	66600000	1751912	128141405	16773	0.026305	1.924045	0.251847
Germany	80500000	1935911	159033243	19689	0.024049	1.975568	0.244584
Hungary	9983967	387017	18112981	1711	0.038764	1.814207	0.171375
Iceland	317351	40704	1587913	152	0.128262	5.003649	0.478965
Italy	50199700	1269347	85802406	8043	0.025286	1.709221	0.160220
Norway	5124383	437754	16266083	1585	0.085426	3.174252	0.309306
Poland	38483957	1165274	45537797	4035	0.030279	1.183293	0.104849
Slovenia	2062874	11780	372579	95	0.005710	0.180612	0.046052
Sweden	9747355	7229	287432	25	0.000742	0.029488	0.002565
Switzerland	8211700	404	18256	12	0.000049	0.002223	0.001461
